Device,Size [B],Date [UTC],list_devices
ams01-wxp00-sw09a.webex.com,75729,2020/1/30 2:39,
ams01-wxp00-sw09b.webex.com,80456,2020/1/30 2:39,
ams01-wxp00-sw100a.webex.com,75749,2020/1/30 2:39,
ams01-wxp00-sw100b.webex.com,75591,2020/1/30 2:39,
ams01-wxp00-sw101a.webex.com,20502,2020/1/30 2:39,
ams01-wxp00-sw101b.webex.com,20483,2020/1/30 2:39,
ams01-wxp00-sw102a.webex.com,47052,2020/1/30 2:39,
ams01-wxp00-sw102b.webex.com,47729,2020/1/30 2:39,
ams01-wxp00-sw10a.webex.com,60598,2020/1/30 2:39,
ams01-wxp00-sw10b.webex.com,60690,2020/1/30 2:39,
ams01-wxp00-sw11a.webex.com,63688,2020/1/30 2:39,
ams01-wxp00-sw11b.webex.com,63668,2020/1/30 2:39,
ams01-wxp00-sw12a.webex.com,16557,2020/1/30 2:39,
ams01-wxp00-sw12b.webex.com,16523,2020/1/30 2:39,
ams01-wxp00-sw13a.webex.com,13833,2020/1/30 2:39,
ams01-wxp00-sw13b.webex.com,13562,2020/1/30 2:39,
ams01-wxpd-lb01a.webex.com,694964,2020/1/30 2:30,
ams01-wxpd-lb01b.webex.com,694964,2020/1/30 2:30,
ams01-wxpd-lb11a.webex.com,142780,2020/1/30 2:30,
ams01-wxpd-lb11b.webex.com,142780,2020/1/30 2:30,
ams01-wxpd-lbssl01.webex.com,35451,2020/1/30 2:30,
ams01-wxpd-lbssl02.webex.com,35572,2020/1/30 2:31,
ams01-wxpd-lbssl03.webex.com,33712,2020/1/30 2:31,
ams01-wxpd-lbssl04.webex.com,33716,2020/1/30 2:31,
ams01-wxpd-lbxa.webex.com,24586,2020/1/30 2:31,
ams01-wxpd-lbxb.webex.com,24681,2020/1/30 2:31,
ams01-wxvc-asa21a-admin.webex.com,54436,2020/1/30 2:42,
ams01-wxvc-asa21a-dc-mgmt.webex.com,52817,2020/1/30 2:42,
ams01-wxvc-asa21a-infra.webex.com,173717,2020/1/30 2:42,
ams01-wxvc-asa21a-system.webex.com,5471,2020/1/30 2:42,
ams01-wxvc-asa21a.webex.com,6860,2020/1/30 2:42,
ams01-wxvc-asa21b-admin.webex.com,54436,2020/1/30 2:43,
ams01-wxvc-asa21b-dc-mgmt.webex.com,52817,2020/1/30 2:43,
ams01-wxvc-asa21b-infra.webex.com,173717,2020/1/30 2:43,
ams01-wxvc-asa21b-system.webex.com,5434,2020/1/30 2:43,
ams01-wxvc-asa21b.webex.com,6860,2020/1/30 2:43,
ams01-wxvc-csw01.webex.com,86525,2020/1/30 2:42,
ams01-wxvc-csw02.webex.com,85936,2020/1/30 2:43,
ams01-wxvc-fpr01a.webex.com,135585,2020/1/30 2:30,
ams01-wxvc-fpr01b.webex.com,135848,2020/1/30 2:30,
ams01-wxvc-gw01.webex.com,25435,2020/1/30 2:43,
ams01-wxvc-gw02.webex.com,25435,2020/1/30 2:43,
ams01-wxvc-lb01a.webex.com,84243,2020/1/30 2:31,
ams01-wxvc-lb01b.webex.com,84245,2020/1/30 2:31,
ams01-wxvc-ssw01.webex.com,23376,2020/1/30 2:43,
ams01-wxvc-ssw02.webex.com,22908,2020/1/30 2:43,
ams01-wxvc-sw04a.webex.com,23012,2020/1/30 2:43,
ams01-wxvc-sw04b.webex.com,22765,2020/1/30 2:43,
ams01-wxvc-sw05a.webex.com,66646,2020/1/30 2:43,
ams01-wxvc-sw05b.webex.com,66779,2020/1/30 2:43,
ams01-wxvc-sw06a.webex.com,40618,2020/1/30 2:43,
ams01-wxvc-sw06b.webex.com,40598,2020/1/30 2:43,
ams01-wxvc-sw100a.webex.com,19091,2020/1/30 2:44,
ams01-wxvc-sw100b.webex.com,19562,2020/1/30 2:44,
ams10-ddos-dpr01.webex.com,87246,2020/1/27 5:00,
ams10-oob-con01.webex.com,29926,2020/1/30 2:44,
ams10-oob-con02.webex.com,19251,2020/1/30 2:44,
ams10-oob-sw01a.webex.com,3385,2020/1/29 2:45,
ams10-oob-sw01b.webex.com,12706,2020/1/29 2:45,
ams10-wxbb-crt01.webex.com,155857,2020/1/30 2:45,
ams10-wxbb-crt02.webex.com,315476,2020/1/30 2:45,
ams10-wxbb-pe01.webex.com,252659,2020/1/30 2:45,
ams10-wxbb-pe02.webex.com,258389,2020/1/30 2:46,
